taxonomic_level	taxon	healthy_control_mean	idiopathic_central_precocious_puberty_mean	mean_delta_g2_minus_g1	healthy_control_detected	idiopathic_central_precocious_puberty_detected	p_value	q_value
genus	d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae;g__Peptostreptococcus	0.00011349	0.00000000	-0.00011349	2	0	0.613123	0.906929
genus	d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Family_XI;g__Fenollaria	0.00011227	0.00000000	-0.00011227	4	0	0.306989	0.906929
genus	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Lautropia	0.00000000	0.00011201	0.00011201	0	3	0.48288	0.906929
genus	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Limosilactobacillus	0.00010820	0.00000000	-0.00010820	3	0	0.445111	0.906929
genus	d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus	0.00000663	0.00011186	0.00010523	1	2	0.820413	0.906929
genus	d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Anaerovoracaceae;g__Family_XIII_UCG-001	0.00000518	0.00011010	0.00010492	1	6	0.239458	0.906929
genus	d__Bacteria;p__Synergistota;c__Synergistia;o__Synergistales;f__Synergistaceae;g__Synergistes	0.00000000	0.00010156	0.00010156	0	1	0.820413	0.906929
genus	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;__;__;__	0.00000000	0.00009965	0.00009965	0	1	0.820413	0.906929
genus	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Frisingicoccus	0.00004459	0.00014363	0.00009904	1	3	0.64981	0.906929
genus	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Capnocytophaga	0.00000000	0.00009276	0.00009276	0	2	0.6424	0.906929
genus	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Bradyrhizobium	0.00008949	0.00000000	-0.00008949	1	0	0.804405	0.906929
genus	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Varibaculum	0.00008529	0.00000000	-0.00008529	1	0	0.804405	0.906929
genus	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus	0.00000000	0.00008386	0.00008386	0	3	0.48288	0.906929
genus	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriales_Incertae_Sedis;g__uncultured	0.00000000	0.00007572	0.00007572	0	5	0.239458	0.906929
genus	d__Bacteria;p__Synergistota;c__Synergistia;o__Synergistales;f__Synergistaceae;g__Cloacibacillus	0.00000720	0.00008162	0.00007442	1	2	0.820413	0.906929
